                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.98511,                0.96502,                   1.23,                0.64903,                0.52537,                0.55407,                 0.3082,                 1.7384,                 1.6905,                 1.9308,             0.00025573,             0.00025573,             0.00025573
                     72,                0.98342,                0.94105,                 1.2253,                0.62327,                0.54492,                0.54272,                0.31169,                 1.6787,                 1.6715,                 1.8675,             0.00024748,             0.00024748,             0.00024748
                     73,                0.97895,                0.93297,                 1.2207,                0.66023,                0.52648,                 0.5404,                0.31258,                 1.6814,                 1.7065,                  1.866,             0.00023924,             0.00023924,             0.00023924
                     74,                0.96711,                0.91612,                 1.2141,                0.63428,                  0.553,                0.54458,                0.31092,                 1.6763,                 1.6884,                 1.8834,             0.00023099,             0.00023099,             0.00023099
                     75,                0.95273,                0.91014,                 1.2087,                0.65822,                0.51785,                0.53219,                 0.3123,                 1.6873,                 1.7146,                 1.8772,             0.00022274,             0.00022274,             0.00022274
                     76,                0.95633,                0.90725,                 1.2053,                0.65631,                 0.5316,                0.53327,                0.30869,                 1.6963,                 1.7034,                 1.8858,              0.0002145,              0.0002145,              0.0002145
                     77,                0.95116,                 0.9022,                 1.2024,                0.62905,                0.54479,                0.54064,                0.30683,                 1.7131,                 1.6646,                 1.9071,             0.00020625,             0.00020625,             0.00020625
                     78,                0.92298,                0.87778,                 1.1921,                0.60409,                0.54568,                0.53804,                 0.3059,                  1.706,                 1.7369,                 1.9157,               0.000198,               0.000198,               0.000198
                     79,                0.92451,                0.89591,                 1.1966,                0.66901,                0.52075,                0.53752,                0.31165,                 1.7311,                 1.7214,                 1.9373,             0.00018976,             0.00018976,             0.00018976
                     80,                0.93246,                0.88238,                 1.1959,                0.61795,                 0.5594,                0.54954,                0.31247,                 1.6992,                 1.6617,                 1.9058,             0.00018151,             0.00018151,             0.00018151
                     81,                0.91303,                0.85754,                 1.1815,                0.60729,                0.54821,                0.53573,                0.31052,                  1.692,                 1.7316,                 1.9013,             0.00017326,             0.00017326,             0.00017326
                     82,                0.90702,                0.84157,                 1.1781,                  0.658,                 0.5284,                 0.5463,                0.31065,                 1.7238,                 1.7303,                 1.9312,             0.00016502,             0.00016502,             0.00016502
                     83,                0.90879,                0.84137,                 1.1835,                0.61449,                0.56078,                0.54414,                0.31507,                 1.7091,                 1.7233,                 1.9249,             0.00015677,             0.00015677,             0.00015677
                     84,                  0.903,                0.83947,                   1.18,                0.62228,                0.55202,                  0.527,                0.30452,                 1.7165,                 1.7451,                 1.9341,             0.00014852,             0.00014852,             0.00014852
                     85,                0.91052,                0.83442,                 1.1721,                0.60865,                0.58247,                0.54826,                0.31495,                 1.6867,                 1.6916,                 1.9176,             0.00014028,             0.00014028,             0.00014028
                     86,                0.89789,                0.83341,                 1.1758,                0.63616,                0.56223,                0.54882,                0.31424,                  1.691,                 1.7386,                 1.8985,             0.00013203,             0.00013203,             0.00013203
                     87,                0.88894,                0.82031,                 1.1678,                0.65736,                0.52703,                0.53494,                 0.3065,                 1.7088,                 1.7825,                 1.9386,             0.00012378,             0.00012378,             0.00012378
                     88,                0.89024,                0.80781,                 1.1658,                0.67126,                0.52021,                0.54319,                0.30633,                 1.7315,                 1.7652,                 1.9729,             0.00011554,             0.00011554,             0.00011554
                     89,                0.88149,                0.80548,                 1.1623,                0.68007,                0.52413,                0.54829,                0.30544,                 1.7255,                 1.7098,                 1.9683,             0.00010729,             0.00010729,             0.00010729
                     90,                0.87625,                0.80123,                 1.1614,                0.63183,                0.53203,                0.54037,                0.30354,                 1.7331,                 1.7298,                 1.9805,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.86232,                 0.6851,                 1.1842,                0.63422,                0.54009,                0.53721,                0.30442,                   1.72,                 1.7493,                 1.9678,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 0.8334,                0.62375,                 1.1614,                0.62796,                 0.5584,                  0.539,                0.30727,                  1.721,                 1.7359,                 1.9778,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.80679,                0.62037,                  1.147,                0.61381,                0.57122,                0.54844,                0.31548,                 1.6996,                 1.7153,                 1.9691,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 0.8108,                0.60755,                   1.15,                0.64706,                0.54787,                0.54567,                0.31622,                 1.6863,                 1.7142,                 1.9484,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.79991,                0.59822,                 1.1421,                 0.6181,                0.55856,                0.54039,                 0.3129,                 1.6925,                 1.7239,                 1.9562,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.79144,                 0.5892,                 1.1376,                0.65826,                0.53641,                0.53692,                0.30894,                 1.7183,                 1.7485,                 2.0115,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.78026,                0.58663,                 1.1295,                0.66518,                0.53495,                0.53939,                0.31216,                 1.7025,                 1.7169,                 2.0005,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 0.7713,                0.57952,                 1.1274,                0.65834,                0.55007,                0.54461,                0.31017,                 1.7323,                 1.7023,                 2.0471,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.76648,                0.57327,                 1.1177,                 0.6663,                0.54763,                0.53923,                 0.3104,                 1.7172,                  1.707,                 2.0252,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.76453,                 0.5692,                 1.1162,                0.65842,                0.54892,                0.54147,                0.31129,                 1.7182,                 1.7108,                 2.0258,             1.6577e-05,             1.6577e-05,             1.6577e-05
